Time,Speed
720600.0,32.6
721200.0,33.4
721800.0,32.4
722400.0,34.5
723000.0,33.8
723600.0,33.5
724200.0,33.9
724800.0,32.7
725400.0,32.6
726000.0,33.6
726600.0,31.2
727200.0,32.6
727800.0,30.6
728400.0,29.3
729000.0,27.1
729600.0,29.7
730200.0,33.6
730800.0,35.1
731400.0,33.6
732000.0,31.7
732600.0,33.3
733200.0,31.7
733800.0,32.2
734400.0,31.5
735000.0,31.4
735600.0,30.1
736200.0,29.3
736800.0,32.2
737400.0,32.3
738000.0,29.7
738600.0,27.9
739200.0,27.9
739800.0,28.6
740400.0,28.2
741000.0,30.9
741600.0,28.3
742200.0,24.0
742800.0,20.5
743400.0,17.9
744000.0,16.6
744600.0,16.8
745200.0,15.1
745800.0,15.5
746400.0,12.4
747000.0,14.5
747600.0,16.3
748200.0,19.8
748800.0,18.7
749400.0,22.2
750000.0,26.7
750600.0,21.4
751200.0,29.2
751800.0,28.3
752400.0,30.1
753000.0,25.7
753600.0,27.6
754200.0,24.7
754800.0,23.5
755400.0,21.8
756000.0,21.4
756600.0,22.7
757200.0,22.5
757800.0,22.1
758400.0,16.1
759000.0,14.7
759600.0,13.9
760200.0,14.5
760800.0,17.8
761400.0,15.1
762000.0,16.2
762600.0,17.7
763200.0,14.6
763800.0,14.7
764400.0,14.8
765000.0,13.0
765600.0,15.5
766200.0,16.8
766800.0,18.3
767400.0,19.1
768000.0,16.3
768600.0,17.8
769200.0,20.1
769800.0,21.5
770400.0,19.6
771000.0,20.0
771600.0,20.1
772200.0,18.7
772800.0,17.6
773400.0,17.0
774000.0,18.8
774600.0,19.9
775200.0,18.6
775800.0,20.4
776400.0,21.4
777000.0,21.6
777600.0,21.0
778200.0,22.6
778800.0,23.7
779400.0,23.8
780000.0,25.5
780600.0,23.2
781200.0,23.1
781800.0,23.7
782400.0,22.5
783000.0,23.0
783600.0,22.5
784200.0,22.4
784800.0,23.9
785400.0,21.4
786000.0,22.4
786600.0,21.1
787200.0,22.2
787800.0,19.5
788400.0,22.3
789000.0,21.6
789600.0,23.2
790200.0,22.0
790800.0,22.5
791400.0,20.9
792000.0,17.2
792600.0,20.1
793200.0,19.8
793800.0,20.0
794400.0,19.2
795000.0,18.2
795600.0,17.0
796200.0,15.5
796800.0,16.2
797400.0,15.5
798000.0,15.4
798600.0,17.5
799200.0,15.4
799800.0,15.8
800400.0,13.8
801000.0,11.1
801600.0,10.0
802200.0,10.4
802800.0,9.1
803400.0,10.0
804000.0,11.5
804600.0,9.7
805200.0,10.0
805800.0,11.0
806400.0,15.4
807000.0,16.6
807600.0,16.6
808200.0,18.3
808800.0,16.7
809400.0,17.3
810000.0,19.0
810600.0,21.4
811200.0,17.0
811800.0,19.5
812400.0,17.0
813000.0,16.3
813600.0,15.8
814200.0,14.4
814800.0,13.8
815400.0,15.8
816000.0,13.5
816600.0,12.6
817200.0,16.8
817800.0,18.1
818400.0,18.3
819000.0,16.0
819600.0,15.9
820200.0,17.7
820800.0,16.7
821400.0,16.4
822000.0,11.4
822600.0,10.6
823200.0,11.7
823800.0,13.1
824400.0,11.8
825000.0,10.6
825600.0,12.0
826200.0,11.2
826800.0,12.2
827400.0,11.8
828000.0,9.8
828600.0,9.1
829200.0,12.1
829800.0,12.2
830400.0,14.1
831000.0,15.2
831600.0,13.3
832200.0,10.6
832800.0,11.6
833400.0,11.2
834000.0,11.9
834600.0,10.8
835200.0,11.2
835800.0,10.2
836400.0,10.8
837000.0,11.3
837600.0,10.2
838200.0,8.7
838800.0,9.5
839400.0,8.4
840000.0,8.3
840600.0,7.7
841200.0,7.6
841800.0,6.9
842400.0,6.8
843000.0,7.0
843600.0,7.8
844200.0,7.4
844800.0,8.6
845400.0,8.7
846000.0,9.9
846600.0,10.3
847200.0,9.3
847800.0,9.8
848400.0,9.9
849000.0,9.5
849600.0,10.5
850200.0,11.6
850800.0,12.1
851400.0,11.0
852000.0,12.2
852600.0,11.0
853200.0,11.8
853800.0,11.2
854400.0,11.8
855000.0,11.4
855600.0,11.7
856200.0,11.5
856800.0,11.6
857400.0,11.6
858000.0,11.6
858600.0,10.7
859200.0,11.3
859800.0,11.4
860400.0,10.1
861000.0,10.2
861600.0,10.7
862200.0,11.3
862800.0,10.0
863400.0,9.7
864000.0,8.6
864600.0,9.3
865200.0,7.6
865800.0,8.5
866400.0,8.9
867000.0,8.4
867600.0,8.2
868200.0,9.2
868800.0,7.7
869400.0,6.6
870000.0,7.6
870600.0,7.9
871200.0,10.8
871800.0,10.4
872400.0,9.0
873000.0,9.2
873600.0,8.9
874200.0,9.1
874800.0,9.7
875400.0,7.8
876000.0,7.5
876600.0,9.4
877200.0,9.8
